"cidade","Vizinho1","Vizinho2","Vizinho3","Vizinho4","Vizinho5","Vizinho6","Vizinho7","Vizinho8","Vizinho9","Vizinho10","V12"
"Juazeirinho",0.0424,0.1732,0.1779,0.1833,0.1903,0.2263,0.2429,0.243,0.2818,0.2915,0.2053
"Areia",0.1317,0.1508,0.1764,0.1779,0.1919,0.2114,0.23,0.2337,0.2558,0.2977,0.2057
"São Sebastião de Lagoa de Roça",0.1296,0.1346,0.1438,0.16,0.1711,0.24,0.2608,0.2628,0.2779,0.278,0.2059
"Itapororoca",0.0702,0.0993,0.1537,0.1732,0.185,0.2637,0.2644,0.2779,0.3072,0.3144,0.2109
"Mari",0.1508,0.163,0.1754,0.1811,0.2129,0.2255,0.23,0.2508,0.2587,0.2686,0.2117
"Teixeira",0.1341,0.1778,0.1932,0.2049,0.2102,0.215,0.2186,0.2481,0.2508,0.2716,0.2124
"Itatuba",0.0741,0.0934,0.163,0.1678,0.235,0.2447,0.2816,0.2869,0.2958,0.298,0.214
"Cruz do Espírito Santo",0.0702,0.1318,0.1369,0.206,0.2211,0.2235,0.2429,0.3089,0.3195,0.3206,0.2181
"Araruna",0.1399,0.1838,0.1993,0.2128,0.2269,0.2344,0.2456,0.2522,0.2838,0.2887,0.2267
"Rio Tinto",0.0703,0.1635,0.1828,0.2003,0.257,0.2585,0.2661,0.2677,0.3018,0.3147,0.2283
"Ibiara",0.2069,0.2161,0.2188,0.2199,0.2238,0.2348,0.2395,0.2448,0.2471,0.2485,0.23
"Mataraca",0.1438,0.1516,0.1733,0.1856,0.2088,0.2548,0.2598,0.2879,0.3138,0.33,0.2309
"Sumé",0.1677,0.1711,0.1856,0.2158,0.2223,0.2442,0.2636,0.29,0.3016,0.3071,0.2369
"Jacaraú",0.1084,0.1255,0.1399,0.2186,0.2555,0.2578,0.3052,0.3163,0.3212,0.3295,0.2378
"Monteiro",0.1707,0.2234,0.2294,0.2425,0.2428,0.2448,0.245,0.2585,0.2803,0.2888,0.2426
"Bananeiras",0.0703,0.1414,0.2026,0.235,0.2425,0.2441,0.2724,0.3241,0.3363,0.3633,0.2432
"Santa Teresinha",0.1401,0.176,0.2224,0.2416,0.2536,0.2636,0.2816,0.2879,0.2935,0.296,0.2456
"Belém",0.16,0.2158,0.2285,0.2386,0.2508,0.2514,0.2548,0.2722,0.3071,0.3233,0.2502
"Areial",0.2088,0.2173,0.2224,0.2266,0.2325,0.2511,0.2543,0.284,0.3071,0.3197,0.2524
"Lagoa Seca",0.1414,0.2003,0.2234,0.2522,0.2524,0.2704,0.3055,0.3227,0.3231,0.3452,0.2636
"Pocinhos",0.0484,0.1084,0.1993,0.3153,0.3551,0.3556,0.3615,0.3616,0.3803,0.4079,0.2893
"Solânea",0.0484,0.1255,0.2269,0.3121,0.3286,0.3415,0.3622,0.3732,0.3752,0.4103,0.2904
"Nova Palmeira",0.101,0.1067,0.1697,0.2173,0.3072,0.3101,0.4193,0.424,0.4312,0.4351,0.2922
"Umbuzeiro",0.1516,0.2266,0.2553,0.2779,0.3055,0.3119,0.3246,0.328,0.3676,0.3951,0.2944
"Frei Martinho",0.101,0.203,0.2325,0.2416,0.2654,0.3797,0.3895,0.3908,0.4194,0.4386,0.3061
"Cajazeirinhas",0.063,0.1067,0.203,0.2791,0.284,0.3391,0.4139,0.4548,0.4573,0.465,0.3066
"Caturité",0.063,0.1697,0.2654,0.2775,0.2853,0.3312,0.3952,0.4119,0.4136,0.475,0.3088
"Natuba",0.2511,0.2553,0.2775,0.2791,0.3072,0.3122,0.3585,0.3684,0.3895,0.4107,0.321
"Catolé do Rocha",0.1238,0.3071,0.3246,0.3415,0.3457,0.3667,0.3783,0.3803,0.4284,0.4341,0.343
"Alhandra",0.1238,0.3025,0.3055,0.33,0.331,0.3831,0.3957,0.4393,0.4777,0.48,0.3569
"Conceição",0.235,0.3034,0.3069,0.3085,0.3207,0.3499,0.3862,0.4617,0.4694,0.5088,0.3651
"Santa Luzia",0.1513,0.2853,0.3051,0.3122,0.3332,0.3391,0.4351,0.4402,0.5175,0.5349,0.3654
"Monte Horebe",0.2715,0.2836,0.3032,0.321,0.3862,0.3916,0.3956,0.4343,0.4533,0.4557,0.3696
"Alagoa Grande",0.235,0.2677,0.3055,0.3955,0.4251,0.4318,0.4328,0.4408,0.4503,0.5074,0.3892
"Dona Inês",0.1513,0.3608,0.3672,0.3684,0.3947,0.4119,0.465,0.489,0.5163,0.5352,0.406
"São Bento",0.3615,0.3732,0.3739,0.3969,0.4347,0.4408,0.4547,0.4732,0.5371,0.5426,0.4389
"São José do Sabugi",0.0284,0.3051,0.3672,0.3758,0.3952,0.4548,0.5588,0.5709,0.6433,0.718,0.4418
"Pombal",0.3025,0.3688,0.3783,0.3963,0.4107,0.4113,0.5038,0.5352,0.554,0.565,0.4426
"São Miguel de Taipu",0.2836,0.3034,0.3286,0.3996,0.4333,0.4574,0.539,0.5601,0.6293,0.6383,0.4573
"Várzea",0.0284,0.3332,0.3851,0.3947,0.4136,0.4721,0.575,0.5966,0.6573,0.7388,0.4595
"Sousa",0.4318,0.4547,0.4842,0.4866,0.4987,0.5358,0.5691,0.6308,0.645,0.6559,0.5393
"Caaporã",0.4476,0.4734,0.4812,0.5191,0.5205,0.5855,0.5865,0.6011,0.6252,0.6324,0.5472
"Pedra Lavrada",0.3608,0.3758,0.3851,0.4331,0.4402,0.6781,0.6861,0.7209,0.7405,0.8458,0.5666
"Conde",0.3806,0.4113,0.5057,0.5163,0.585,0.6127,0.6639,0.6861,0.7103,0.762,0.5834
"Boa Ventura",0.3286,0.3956,0.4183,0.5305,0.6148,0.6547,0.6583,0.6971,0.7785,0.8173,0.5894
"Esperança",0.3688,0.4713,0.4777,0.5057,0.5633,0.6516,0.7148,0.7349,0.742,0.7529,0.5983
"Pedras de Fogo",0.3409,0.3955,0.5691,0.6259,0.6477,0.6591,0.673,0.6931,0.7043,0.7822,0.6091
"Picuí",0.3806,0.4331,0.489,0.6237,0.65,0.7239,0.7452,0.7643,0.8009,0.8461,0.6457
"Queimadas",0.3409,0.5709,0.6282,0.6995,0.7336,0.7931,0.8056,0.8171,0.8349,0.9635,0.7187
"Cajazeiras",0.5633,0.5765,0.7336,0.7725,0.7886,0.8013,0.8137,0.8187,0.8656,0.9035,0.7637
"Sapé",0.3883,0.4476,0.7043,0.8988,0.9102,0.9164,0.9355,0.9588,0.9637,0.986,0.811
"Mamanguape",0.3883,0.5865,0.8686,0.869,0.8792,0.9087,0.9485,0.9685,0.9869,1.0179,0.8422
"Santa Inês",0.1517,0.4183,0.7058,0.8126,0.9954,1.0721,1.0727,1.1142,1.1878,1.2282,0.8759
"Guarabira",0.585,0.65,0.813,0.9361,0.9421,1.0507,1.0808,1.1182,1.17,1.2056,0.9552
"São José de Caiana",0.1517,0.5305,0.7814,0.9245,1.062,1.1647,1.175,1.2127,1.3085,1.3155,0.9627
"Bayeux",0.8171,1.007,1.1813,1.3567,1.3572,1.3625,1.3837,1.5806,1.5863,1.6057,1.3238
"Patos",0.9361,1.338,1.4298,1.4411,1.5844,1.6861,1.7377,1.86,1.8768,1.8849,1.5775
"Cabedelo",2.2331,2.2585,2.4911,2.6821,2.7062,2.9417,3.042,3.0456,3.0495,3.058,2.7508
"Santa Rita",1.798,2.2466,2.5766,2.6982,2.8021,3.0392,3.0575,3.0896,3.1135,3.126,2.7547
"Campina Grande",5.2307,6.081,6.1292,6.6957,6.9668,7.185,7.3983,7.4677,7.4809,7.5829,6.8218
"João Pessoa",10.3012,15.2094,16.2171,16.288,16.6657,17.1717,17.2746,17.4047,17.5561,17.6114,16.17
